Book Name,Author,Description,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes)
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",4.8,11274.5,836.0,35,Biographies & Autobiographies (Books),817.0
Zero to One,Peter Thiel,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",4.4,5318.5,615.0,25,Organisational Behaviour,290.0
My Gita,Devdutt Pattanaik,"In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",4.2,1242.5,501.0,26,Theology & Philosophy of Religion,375.0
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",4.7,11921.0,999.0,29,Fiction on Friendship for Children,573.0
Chanakya Neeti,Acharya Chanakya,"Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",4.4,92.0,668.0,28,Biographies & Autobiographies (Books),302.0
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,"Shwetabh Gangwar is a professional problem-solver - and he’s ace at it. For the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",4.5,2077.5,501.0,44,Personal Development & Self-Help,291.0
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,Winner of the Gaja Capital Business Book Prize 2019,4.4,53.0,668.0,34,Biographies & Autobiographies (Books),581.0
Hyperfocus,Chris Bailey,"Our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",4.5,156.0,323.0,31,Time Management & Productivity,399.0
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,An instant New York Times best seller and number one Wall Street Journal best seller,4.7,2397.5,750.0,36,Personal Success,777.0
Meri Gita,Devdutt Pattanaik,"In Meri Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary listener. His unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.In a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, Devdutt highlights how Krishna nudges Arjuna to understand rather than judge his relationships. This becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) We forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight. ",4.2,129.0,668.0,40,Christianity (Books),459.0
The Unusual Billionaires,Saurabh Mukherjea,What makes a company truly outstanding?,4.4,287.5,1005.0,20,Essays (Books),552.0
The Tales of Beedle the Bard,J.K. Rowling,"Written by J.K. Rowling. Read by Sally Mortemore, Warwick Davis, Evanna Lynch, Jason Isaacs, Bonnie Wright, Noma Dumezweni and Jude Law.",4.6,3699.5,652.0,55,Fairy Tale Collections & Anthologies for Children,95.0
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hard work is irrelevant. Be radically honest. Adequate performance gets a generous severance. And never, ever try to please your boss. These are some of the ground rules if you work at Netflix. They are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a DVD mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than Disney.",4.1,9.5,888.0,27,Analysis & Strategy,582.0
Think and Grow Rich,Napoleon Hill,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.5,22389.0,166.0,38,Economics Books,615.0
Inglorious Empire: What the British Did to India,Shashi Tharoor,"Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",4.5,302.5,752.0,33,Colonialism & Post-Colonialism,633.0
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,Brought to you by Penguin.,4.5,4285.0,1093.0,29,Personal Development & Self-Help,522.0
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,"""'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'"" ",4.7,5546.0,1599.0,75,Fiction on Orphans & Foster Homes for Children,1818.0
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,"""There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building...wherever they had murdered...."" ",4.7,7065.5,1599.0,78,Fiction on Orphans & Foster Homes for Children,1287.0
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,"""'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'"" ",4.7,5451.0,1599.0,46,Fiction on Orphans & Foster Homes for Children,1337.0
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",4.4,3363.5,1005.0,116,ess Management,518.0
Range: How Generalists Triumph in a Specialized World,David Epstein,"Range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from David Epstein, the acclaimed author of The Sports Gene.",4.6,1265.5,323.0,105,ess,617.0
Man's Search for Meaning,Viktor E. Frankl,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning. ",4.4,12932.5,468.0,96,Textbooks & Study Guides,284.0
Everything Is F*cked: A Book About Hope,Mark Manson,From the author of the international mega-best-seller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope. ,4.3,2370.5,10378.0,85,Personal Success,422.0
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,"Bloomsbury presents The Anarchy by William Dalrymple, read by Sid Sagar.",4.6,1371.0,1138.0,84,Colonialism & Post-Colonialism,943.0
The Alchemist (Hindi Edition),Paulo Coelho,"अंदलुशिया में रहनेवाले एक आम चरवाहे सैंतियागो की ये कहानी स्पेन से होते हुए मिस्र के रेगिस्तान जा पहुँचती है। जादुई रस-विधा, यानी ऐल्केमी, की तलाश में निकला ये युवा लड़का रास्ते में कई ज्ञानी दार्शनिकों और आध्यात्मिक गुरुओं से मिलता है। ज़िन्दगी बदल देनेवाले इस सफ़र की मंज़िल पर चरवाहे लड़के की मुलाक़ात जिस ऐल्केमिस्ट से होती है, वो न सिर्फ़ लड़के की, बल्कि हम सब की ज़िन्दगी बदल देने की काबिलियत रखता है। ",4.4,796.0,668.0,135,Personal Development,396.0
The Girl on the Train,Paula Hawkins,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. ",4.0,70099.5,888.0,98,"Crime, Thriller & Mystery (Books)",657.0
Wings of Fire,APJ Abdul Kalam,“We are all born with a divine fire in us. Our efforts should be to give wings to this fire”. President Kalam’s inspiring autobiography has touched the hearts of people all over the world. The book talks about the his humble beginnings in a small village in Tamil Nadu and his ascent to one of the most powerful positions in the country. ,4.6,70.0,75.0,80,Biographies & Autobiographies (Books),75.0
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,"The latest groundbreaking tome from Tim Ferriss, the number-one New York Times best-selling author of The 4-Hour Workweek. ",4.4,3677.5,1506.0,102,Personal Success,1361.0
Sapiens,Yuval Noah Harari,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,4.6,10246.0,1132.0,4,Anthropology (Books),918.0
Sapiens,Yuval Noah Harari,New York Times Best Seller  ,4.6,329.0,1171.0,72,Anthropology (Books),1302.0
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,Brought to you by Penguin.,4.8,1866.5,888.0,82,Personal Success,474.0
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,"This is a Hindi translation of famous best-selling classic Think and Grow Rich. Napoleon Hill in this book defines the process by which listeners can achieve not just economic success but success in all aspects of life. He asserts that it is our mind and thoughts that shape our actions and that leads to success or failure in any venture and the author reveals the secret to its reader through this book of how we can give real shape to our dreams and aspiration through right thought, right action and right inspiration. Get a copy of this audiobook and embark on an enriching experience that will inspire and motivate you to work hard and achieve your goals.",4.5,2.0,836.0,74,Personal Development & Self-Help,670.0
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,YOUR MOST VALUABLE ASSET...IS YOU. LOADED WILL TEACH YOU HOW TO MAKE THE MOST OF IT.  ,4.45,62.5,586.0,56,Society,414.0
1984,George Orwell,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered. ",4.5,17039.0,797.0,130,Literary Fiction,739.0
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,Brought to you by Penguin. ,4.5,953.5,1093.0,77,Economic Conditions (Books),884.0
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,John Moffatt stars as the Belgian detective Hercule Poirot. ,4.8,27.0,1093.0,-1,",            5 star,          ,            ,              81%,            ,",937.0
The Girl in Room 105,Chetan Bhagat,"Hi, I'm Keshav, and my life is screwed. I hate my job and my girlfriend left me.",4.3,6640.5,568.0,79,Crime Thrillers,503.0
Eat That Frog!,Brian Tracy,"There just isn't enough time for everything on our to-do list - and there never will be. Successful people don't try to do everything. They learn to focus on the most important tasks and make sure those get done. They eat their frogs. There's an old saying that if the first thing you do each morning is eat a live frog, you'll have the satisfaction of knowing you're done with the worst thing you'll have to do all day. For Tracy, eating a frog is a metaphor for tackling your most challenging task - but also the one that can have the greatest positive impact on your life. Eat That Frog! shows you how to organize each day so you can zero in on these critical tasks and accomplish them efficiently and effectively.",4.5,2087.5,351.0,57,ess Motivation & Self-Improvement,157.0
Zen: The Art of Simple Living,Shunmyo Masuno,Penguin presents the audiobook edition of Zen by Shunmyo Masuno. ,4.7,254.5,752.0,114,Stress Management,157.0
Anxious People,Fredrik Backman,Brought to you by Penguin.,4.55,20.0,888.0,100,Humour (Books),592.0
Outliers: The Story of Success,Malcolm Gladwell,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers"" - the best and the brightest, the most famous and the most successful. He asks the question: what makes high achievers different? His answer is that we pay too much attention to what successful people are like and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band. ",4.3,4449.0,500.0,112,ess Motivation & Self-Improvement,438.0
Market Wizards: Interviews with Top Traders,Jack D. Schwager,"IMPORTANT UPDATE: This audio is the new recording by DJ Holte, which replaced the original inferior recording and also contains text that was added in the 2012 revised edition of Market Wizards. ",4.6,610.0,836.0,83,ance,881.0
365 Panchatantra Stories,Adil Mukesh,The stories of Panchatantra are ancient Indian fables that were written in Sanskrit and Pali languages. The central characters in these fascinating fables are many times animals and birds. They show their most identifying characteristics in the various stories and impart valuable life lessons and morals. ,4.2,424.0,668.0,88,Children's Traditional Stories (Books),449.0
Astrophysics for People in a Hurry,Neil deGrasse Tyson,What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There's no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson. ,4.6,7285.0,585.0,203,Astronomy (Books),221.0
365 Tales of Indian Mythology,Om Books International,"One treat a day! A 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",4.4,238.0,836.0,81,Children's Traditional Stories (Books),601.0
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,"There is no such thing as a non-finance person. It is an error to think that finance management is limited to the Finance Department alone. In fact, it is happening right through the organization - for every action you take impacts the bottom line of your company. Listen to this book to understand what profit really means and how inventory and sales impact it. Learn to read balance sheets and deploy funds intelligently. Make the most efficient use of your working capital and discover the simple secrets of marginal costing, leverage and funds flow. Written in a simple conversational style, romancing the balance sheet will teach you all the intelligent ways of good financial management.",4.6,459.5,668.0,95,Education (Books),327.0
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,"Professor Yuval Noah Harari is a lecturer at the Department of History at the Hebrew University of Jerusalem. Gaining his PhD from Oxford University, he has published several books and articles. His most recent works comprise the international bestseller Sapiens: A Brief History of Humankind and, most recently Homo Deus: A Brief History of Tomorrow. ",4.7,18.0,0.0,9,Biographies of Authors,19.0
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,A comprehensive value-investing framework for the individual investor.,4.3,827.5,469.0,104,Personal Development & Self-Help,304.0
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,"Design doesn't have to be complicated, which is why this guide to human-centered design shows that usability is just as important as aesthetics. ",4.3,1386.0,500.0,94,Interior Design,639.0
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,"To mark the 150th anniversary of Gandhi's birth, DK presents the audiobook of The Story of My Experiments with Truth: An Autobiography, narrated by Sagar Arya.",4.5,409.0,1093.0,154,Asian History (Books),1227.0
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,"""When you were born, you cried while the world rejoiced. Live your life in such a way that when you die, the world cries while you rejoice."" (Ancient Sanskrit saying) ",4.4,217.0,668.0,133,Personal Development & Self-Help,309.0
Hooked: How to Build Habit-Forming Products,Nir Eyal,"Note to Audible Listeners: As of December 2019, this version of the Hooked audiobook has been revised and rerecorded to greatly improve audio quality. Please disregard any reviews mentioning poor audio quality prior to December 2019.",4.6,1757.0,501.0,99,Design & Fashion (Books),280.0
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,Brought to you by Penguin.,3.0,50.0,888.0,73,Political Structure & Processes,374.0
The Law of Success,Napoleon Hill,"The Law of Success was a precursor to Napoleon Hill's Think and Grow Rich. Hill was well known for researching what made millionaires different from the common man. The sixteen lessons in this book perfectly crystallize everything you will need to know to succeed during these hard economic times. Many of today's best known self help books take there core concepts form this book. The Secret, the Power of Positive Thinking, the Millionaire next door, and The Law of Attraction all take their basic premises from this landmark work. Now you can get it from the source. ",4.4,852.5,32.0,220,ess & Economics,1436.0
48 Laws of Power,Robert Greene,"Amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. This bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun Tzu, Carl von Clausewitz, and other infamous strategists. The 48 Laws of Power will fascinate any listener interested in gaining, observing, or defending against ultimate control. ",4.4,2109.0,820.0,140,Political Theory,1386.0
Alibaba: The House That Jack Ma Built,Duncan Clark,An engrossing insider's account of how a teacher built one of the world's most valuable companies - rivaling Walmart and Amazon - and forever reshaped the global economy. ,4.3,592.5,13345.0,131,Internet & Social Media (Books),549.0
The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,"The Compound Effect contains the essence of what every super achiever needs to know, practice, and master to obtain extraordinary success. Inside you will hear strategies on:",4.7,3955.0,608.0,93,ess Management,284.0
Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,The epic tale of victory and defeat,4.2,1039.0,1003.0,157,duism (Books),1097.0
Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,"Do Kadam Aur Sahi is an excellent compilation of selected poems by the renowned Urdu poet Rahat Indoori. The compiler, Sachin Chaudhary, has named the collection as ‘selected pearls of the ocean’. The magic that flows from the pen of Rahat Indauri gives a different feeling.",4.6,98.5,501.0,122,Poetry (Books),214.0
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,"Built to Last, the defining management study of the '90s, showed how great companies triumph over time and how long-term sustained performance can be engineered into the DNA of an enterprise from the very beginning. ",4.6,2418.0,15817.0,63,Textbooks & Study Guides,601.0
Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,"What I want to achieve - what I have been striving and pining to achieve these 30 years - is self-realization, to see God face to face, to attain moksha. ",4.2,154.0,1171.0,296,Biographies & Autobiographies (Books),1374.0
Peppa Pig: Bedtime Stories,Ladybird,Brought to you by Ladybird.,4.7,64.0,342.0,156,g Audiobooks for Children,67.0
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,"The complete, unabridged audiobook of A Clash of Kings. ",4.6,6905.5,18149.0,187,Epic Fantasy,2232.0
The Mahabharata Secret,Christopher C. Doyle,244 BC ,4.0,985.5,836.0,184,Fantasy (Books),617.0
"Girl, Woman, Other",Bernardine Evaristo,Brought to you by Penguin. ,4.5,2055.0,888.0,139,Women's Fiction,667.0
Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,Brought to you by Penguin.,4.5,1340.0,888.0,97,Time Management & Productivity,476.0
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,Brought to you by Penguin. ,4.6,2985.0,888.0,119,Analysis & Strategy,374.0
How to Stop Worrying and Start Living,Dale Carnegie,Learn how to break the worry habit - now and forever!,4.5,5025.0,668.0,126,Personal Development & Self-Help,582.0
Maybe You Should Talk to Someone,Lori Gottlieb,"Ever wonder what your therapist is really thinking? Now you can find out...a hilarious, thought-provoking and surprising new book that takes us behind the scenes of a therapist's world.  ",4.7,3520.5,1328.0,89,Humour (Books),862.0
Flow: Living at the Peak of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,"In flow, everyday experience becomes a moment by moment opportunity for joy and self-fulfillment. Flow is the brain-child of a fascinating psychologist, Mihaly Csikszentmihalyi, a renowned social scientist who has devoted his life's work to the study of what makes people truly happy, satisfied and fulfilled. While much of the study of psychology investigates disorders of the human mind, Dr. Csikszentmihalyi takes a different route. He focuses on the noble side of human nature, our capacity for living a life of integrity, courage, and perseverance. With his landmark research on flow, he reveals what he considers beautiful in life, ways of being and behaving that make people happy, satisfied and delighted to be alive. His insights into the ""flow experience"" show ways to lessen stress, fear and anxiety while increasing feelings of challenge, joy and excitement. The revolutionary findings of Mihaly Csikszentmihalyi's Experience Sampling Method offer unprecedented information about the specific ways we can turn life into a continuous high quality experience. You'll discover how anyone can enrich his or her quality of life simply by learning how flow occurs and what it feels like. You'll learn about the key elements of the flow experience including: ",-1.0,267.25,1439.0,180,Personal Development & Self-Help,331.0
Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,"Set 300 years before A Game of Thrones, an even greater game began, one that set the skies alight with dragon flame and saw the Seven Kingdoms turned to ash.   ",4.4,3744.0,18149.0,193,Military Fantasy,1584.0
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,He says that's his best offer. Is it? ,4.5,3387.0,10378.0,165,ess Careers,439.0
The Fountainhead,Ayn Rand,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.2,817.0,1054.0,103,Contemporary Fiction (Books),1922.0
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,"""Indistractable provides a framework that will deliver the focus you need to get results."" (James Clear, author of Atomic Habits)",4.6,668.0,1003.0,169,ess & Economics,315.0
"Untamed: Stop Pleasing, Start Living",Glennon Doyle,Brought to you by Penguin.,4.7,5288.5,888.0,143,Biographies & Autobiographies (Books),502.0
When Breath Becomes Air,Paul Kalanithi,"Tackling the agonizing transition from skilled surgeon to bewildered patient, When Breath Becomes Air is an unflinching account of what it means to be betrayed by the body you devoted your life to understanding. ",4.6,11505.5,615.0,123,Cancer,335.0
Caste: The Lies That Divide Us,Isabel Wilkerson,Brought to you by Penguin.,4.8,957.5,888.0,167,ation Studies,866.0
