Book Name,Author,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes),cleaned_description,cluster
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,4.6,459.5,668.0,95,Education (Books),327.0,there thing person it error think finance management limited finance department alone in fact happening right organization every action take impact bottom line company listen book understand profit really mean inventory sale impact learn read balance sheet deploy fund intelligently make efficient use working capital discover simple secret marginal costing leverage fund flow written simple conversational style romancing balance sheet teach intelligent way good financial management,3
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,4.7,18.0,0.0,9,Biographies of Authors,19.0,professor yuval noah harari lecturer department history hebrew university jerusalem gaining phd oxford university published several book article his recent work comprise international bestseller sapiens a brief history humankind recently homo deus a brief history tomorrow,3
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,827.5,469.0,104,Personal Development & Self-Help,304.0,a comprehensive framework individual investor,3
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.3,1386.0,500.0,94,Interior Design,639.0,design complicated guide design show usability important aesthetic,3
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,4.5,409.0,1093.0,154,Asian History (Books),1227.0,to mark anniversary gandhi birth dk present audiobook the story my experiment truth an autobiography narrated sagar arya,2
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,4.4,217.0,668.0,133,Personal Development & Self-Help,309.0,when born cried world rejoiced live life way die world cry rejoice ancient sanskrit saying,3
Hooked: How to Build Habit-Forming Products,Nir Eyal,4.6,1757.0,501.0,99,Design & Fashion (Books),280.0,note audible listener a december version hooked audiobook revised rerecorded greatly improve audio quality please disregard review mentioning poor audio quality prior december,3
Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,3.0,50.0,888.0,73,Political Structure & Processes,374.0,brought penguin,4
The Law of Success,Napoleon Hill,4.4,852.5,32.0,220,ess & Economics,1436.0,the law success precursor napoleon hill think grow rich hill well known researching made millionaire different common man the sixteen lesson book perfectly crystallize everything need know succeed hard economic time many today best known self help book take core concept form book the secret power positive thinking millionaire next door the law attraction take basic premise landmark work now get source,3
48 Laws of Power,Robert Greene,4.4,2109.0,820.0,140,Political Theory,1386.0,amoral cunning ruthless instructive piercing work distills year history power law this bold volume outline law power unvarnished essence synthesizing philosophy machiavelli sun tzu carl von clausewitz infamous strategist the law power fascinate listener interested gaining observing defending ultimate control,3
Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,592.5,13345.0,131,Internet & Social Media (Books),549.0,an engrossing insider account teacher built one world valuable company rivaling walmart amazon forever reshaped global economy,3
The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,4.7,3955.0,608.0,93,ess Management,284.0,the compound effect contains essence every super achiever need know practice master obtain extraordinary success inside hear strategy,3
Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,4.2,1039.0,1003.0,157,duism (Books),1097.0,the epic tale victory defeat,3
Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,4.6,98.5,501.0,122,Poetry (Books),214.0,do kadam aur sahi excellent compilation selected poem renowned urdu poet rahat indoori the compiler sachin chaudhary named collection selected pearl ocean the magic flow pen rahat indauri give different feeling,3
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.6,2418.0,15817.0,63,Textbooks & Study Guides,601.0,built last defining management study showed great company triumph time sustained performance engineered dna enterprise beginning,3
Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,4.2,154.0,1171.0,296,Biographies & Autobiographies (Books),1374.0,what i want achieve i striving pining achieve year see god face face attain moksha,3
Peppa Pig: Bedtime Stories,Ladybird,4.7,64.0,342.0,156,g Audiobooks for Children,67.0,brought ladybird,4
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,6905.5,18149.0,187,Epic Fantasy,2232.0,the complete unabridged audiobook a clash king,3
The Mahabharata Secret,Christopher C. Doyle,4.0,985.5,836.0,184,Fantasy (Books),617.0,bc,3
"Girl, Woman, Other",Bernardine Evaristo,4.5,2055.0,888.0,139,Women's Fiction,667.0,brought penguin,4
Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,4.5,1340.0,888.0,97,Time Management & Productivity,476.0,brought penguin,4
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.6,2985.0,888.0,119,Analysis & Strategy,374.0,brought penguin,4
How to Stop Worrying and Start Living,Dale Carnegie,4.5,5025.0,668.0,126,Personal Development & Self-Help,582.0,learn break worry habit forever,3
Maybe You Should Talk to Someone,Lori Gottlieb,4.7,3520.5,1328.0,89,Humour (Books),862.0,ever wonder therapist really thinking now find hilarious surprising new book take u behind scene therapist world,3
Flow: Living at the Peak of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,-1.0,267.25,1439.0,180,Personal Development & Self-Help,331.0,in flow everyday experience becomes moment moment opportunity joy flow fascinating psychologist mihaly csikszentmihalyi renowned social scientist devoted life work study make people truly happy satisfied fulfilled while much study psychology investigates disorder human mind csikszentmihalyi take different route he focus noble side human nature capacity living life integrity courage perseverance with landmark research flow reveals considers beautiful life way behaving make people happy satisfied delighted alive his insight flow experience show way lessen stress fear anxiety increasing feeling challenge joy excitement the revolutionary finding mihaly csikszentmihalyi experience sampling method offer unprecedented information specific way turn life continuous high quality experience you discover anyone enrich quality life simply learning flow occurs feel like you learn key element flow experience including,3
Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,4.4,3744.0,18149.0,193,Military Fantasy,1584.0,set year a game throne even greater game began one set sky alight dragon flame saw seven kingdom turned ash,3
What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,4.5,3387.0,10378.0,165,ess Careers,439.0,he say best offer is,3
The Fountainhead,Ayn Rand,4.2,817.0,1054.0,103,Contemporary Fiction (Books),1922.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,4
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,4.6,668.0,1003.0,169,ess & Economics,315.0,indistractable provides framework deliver focus need get result james clear author atomic habit,3
"Untamed: Stop Pleasing, Start Living",Glennon Doyle,4.7,5288.5,888.0,143,Biographies & Autobiographies (Books),502.0,brought penguin,4
When Breath Becomes Air,Paul Kalanithi,4.6,11505.5,615.0,123,Cancer,335.0,tackling agonizing transition skilled surgeon bewildered patient when breath becomes air unflinching account mean betrayed body devoted life understanding,3
Caste: The Lies That Divide Us,Isabel Wilkerson,4.8,957.5,888.0,167,ation Studies,866.0,brought penguin,4
Kyon Se Shuruwat Karein [Start with Why]: Mahaan Leaders Logon Ko Aage Badhne Ke Liye Prerit Kaise Karte Hain [How Great Leaders Inspire People to Move Forward],Simon Sinek,-1.0,267.25,836.0,153,Personal Development & Self-Help,652.0,why people organization inventive pioneering successful others and able repeat success,3
Lok Vyavhar,Dale Carnegie,4.5,1413.0,668.0,120,Personal Development & Self-Help,588.0,dale carnegie teach make people like win people way thinking change people without causing offense arousing resentment he also emphasizes fundamental technique handling people without making feel manipulated carnegie illustrates point anecdote historical figure leader business world everyday folk,3
The Selfish Gene,Richard Dawkins,4.6,1890.0,836.0,262,Biology Books,972.0,richard dawkins brilliant reformulation theory natural selection rare distinction provoked much excitement interest outside scientific community within his theory helped change whole nature study social biology forced thousand rethink belief life,3
The Art of War,Sun Tzu,4.2,9162.5,333.0,86,Analysis & Strategy,67.0,the chapter the art war devoted one aspect warfare compiled chinese military general strategist philosopher in spite battlefield specificity the art war found new life modern age leader field wide world politics human psychology corporate strategy finding valuable insight timeworn word,3
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],David Schwartz,4.5,805.5,836.0,275,Personal Development & Self-Help,691.0,badi shoch ka bada jadu hindi translation david schwartz best seller the magic thinking big the author point view thinking big way success thinking positively oneself the main stumbling block prevents many people succeeding life smallness inconsequential nature thought schwartz try prove necessary inherent talent intellectual attaining success need person understand learn habit behaving thinking way reach top his book begin story salesman able sell make money he highly qualified influential smarter friend however decides sell eventually achieves want,3
The Great Indian Novel,Shashi Tharoor,4.3,197.0,879.0,148,Literature & Fiction (Books),1120.0,reinventing harder remember,3
The Great Gatsby,F. Scott Fitzgerald,4.2,10655.0,501.0,150,Classic Literature,289.0,audie award finalist classic,1
Tiny Habits: The Small Changes That Change Everything,BJ Fogg,4.6,916.0,888.0,206,Personal Development & Self-Help,682.0,brought penguin,4
Marketing 4.0: Moving from Traditional to Digital,Philip Kotler,4.4,379.5,469.0,225,Textbooks & Study Guides,288.0,marketing changed forever come next,3
No Excuses!: The Power of Self-Discipline for Success in Your Life,Brian Tracy,4.5,880.5,820.0,127,Analysis & Strategy,411.0,most people think success come good luck enormous talent many successful people achieve accomplishment simpler way brian tracy know firsthand he graduate high school working year laborer realized limited skill limited future but power changed life achieving success sale marketing investing development management consulting he consulted company given motivational speech seminar four million people country written book,3
H.G. Wells: The Science Fiction Collection,H. G. Wells,-1.0,267.25,1898.0,237,Science Fiction (Books),1635.0,he often called father science fiction now listen well five science fiction novel one definitive collection introduced film director well fanboy eli roth collection feature unabridged recording novel performed hugh bonneville jason isaac sophie okonedo david tennant alexander vlahos,3
Rebecca,Daphne Du Maurier,4.5,2945.0,873.0,559,"Crime, Thriller & Mystery (Books)",886.0,exclusively audible,4
How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,4.6,1786.5,879.0,666,ess Careers,528.0,blasting clichéd career advice contrarian pundit creator dilbert recount humorous ups down career revealing outsized role luck life best play system,3
Das Think Like a Monk-Prinzip: Finde innere Ruhe und Kraft für ein erfülltes und sinnvolles Leben,Jay Shetty,-1.0,267.25,703.0,115,Personal Development & Self-Help,694.0,al er gerade frisch von der wirtschaftshochschule kommt wendet sich der gebürtige londoner jay shetty von der welt der anzüge und büros ab rasiert seinen kopf und wird mönch nach drei jahren indien folgt er seinem gefühl nach der eigenen berufung und kehrt zurück um da er gelernt hat auf überzeugende weise aktiv dynamisch unterhaltsam zugänglich mit der welt au der er gekommen war zu teilen e gelingt heute folgen ihm über millionen menschen den sozialen medien,3
The Personal MBA: Master the Art of Business,Josh Kaufman,4.5,1497.0,836.0,177,ess Careers,925.0,audie award nominee business educational,1
The Da Vinci Code,Dan Brown,4.7,3829.0,1435.0,162,"Crime, Thriller & Mystery (Books)",999.0,a murder silent late night hall louvre reveals sinister plot uncover secret protected clandestine society since day christ the victim agent ancient society moment death manages leave gruesome clue scene cryptographer daughter symbologist friend untangle the duo becomes suspect detective searching murderer also stunning secret charged protect,3
F*cking History: 111 Lessons You Should Have Learned in School,The Captain,5.0,183.5,754.0,152,Family & Relationships,247.0,history suck smart crude hilariously relevant modern life,3
Harvard Business Review Manager's Handbook: The 17 Skills Leaders Need to Stand Out,Harvard Business Review,4.7,143.0,668.0,137,Leadership,581.0,the one primer need develop managerial leadership skill,3
Educated,Tara Westover,4.7,19556.0,888.0,107,Family & Relationships,730.0,brought penguin,4
The Girl with a Plan: Love in Times of Tinder,Shanaya Taneja,2.5,7.0,0.0,14,Adult Collections & Anthologies,22.0,what happens hot girl move new neighbour varun blown away new neighbour shanaya he plan get interested say anything shanaya invite help move it take long sensual tension lead naughty sheet varun plan worked thought soon find wrong,3
Jaya: A Retelling of the Mahabharata,Devdutt Pattanaik,4.5,1331.5,879.0,110,Fairy Tale Fantasy,523.0,jaya a retelling mahabharata whole epic originally known jaya condensed tiny capsule book other retelling interesting part mahabharata make book favourite among audience pattanaik rendering various local folklore tale associated epic presented whole new genre with master stroke author elaborated storyline including folklore story epic keeping intact original form style,2
The Order of Time: Narrated by Benedict Cumberbatch,Carlo Rovelli,4.5,934.5,615.0,543,Popular Culture Studies,258.0,winner specsavers audiobook year,1
"Asura (Hindi Edition): Parajiton ki gatha, Ravana va uski praja ki kahani",Anand Neelkantan,2.0,1.0,1171.0,293,Historical Fiction (Books),1266.0,the story ravana people told innumerable time this hindi translation number one national best seller this saga victory defeat story tainted india oppressed exploited caste year unlike ramayana story ravana never told far but time speak dead defeated,2
"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",Vex King,4.7,4492.5,633.0,292,Personal Development & Self-Help,250.0,the sunday time best seller copy sold,2
Why I Am an Atheist and Other Works,Bhagat Singh,4.5,324.5,501.0,537,Asian History (Books),180.0,bhagat singh name became synonymous revolution india struggle independence this young boy brought change way people thought freedom he well read fought extensively right comrade countryman,3
Diary of a Young Girl,Anne Frank,4.5,3322.0,888.0,192,Historical Biographies,608.0,brought penguin,4
